Country,NUTS CODE 2016,merged regions_code,capital region,NUTS NAME,Year,Year z-score,value,2019 vs 2016,2016 vs 2013,2013 vs 2010
Belgium,BE00,BE00,capital region,BE00 - Rég. de Bruxelles-Cap. and its commuting area,2013,RCI 2013 z-scores,0.97,-0.114722017988757,-0.185842904,0.240678437
Belgium,BE00,BE00,capital region,BE00 - Rég. de Bruxelles-Cap. and its commuting area,2010,RCI 2010 z-scores,0.73,-0.114722017988757,-0.185842904,0.240678437
Belgium,BE21,,other,BE21 - Antwerpen,2019,RCI 2019 z-scores,0.61,-0.128334016557357,-0.070025281,0.148299708
Belgium,BE21,,other,BE21 - Antwerpen,2016,RCI 2016 z-scores,0.74,-0.128334016557357,-0.070025281,0.148299708
Belgium,BE21,,other,BE21 - Antwerpen,2013,RCI 2013 z-scores,0.81,-0.128334016557357,-0.070025281,0.148299708
Belgium,BE21,,other,BE21 - Antwerpen,2010,RCI 2010 z-scores,0.66,-0.128334016557357,-0.070025281,0.148299708
Belgium,BE22,,other,BE22 - Limburg,2019,RCI 2019 z-scores,0.46,-0.092742670394366,-0.063275186,0.301388551
Belgium,BE22,,other,BE22 - Limburg,2016,RCI 2016 z-scores,0.55,-0.092742670394366,-0.063275186,0.301388551
Belgium,BE22,,other,BE22 - Limburg,2013,RCI 2013 z-scores,0.61,-0.092742670394366,-0.063275186,0.301388551
Belgium,BE22,,other,BE22 - Limburg,2010,RCI 2010 z-scores,0.31,-0.092742670394366,-0.063275186,0.301388551
Belgium,BE23,,other,BE23 - Oost-Vlaanderen,2019,RCI 2019 z-scores,0.6,-0.065115927264408,-0.08774153,0.173191548
Belgium,BE23,,other,BE23 - Oost-Vlaanderen,2016,RCI 2016 z-scores,0.66,-0.065115927264408,-0.08774153,0.173191548
Belgium,BE23,,other,BE23 - Oost-Vlaanderen,2013,RCI 2013 z-scores,0.75,-0.065115927264408,-0.08774153,0.173191548
Belgium,BE23,,other,BE23 - Oost-Vlaanderen,2010,RCI 2010 z-scores,0.58,-0.065115927264408,-0.08774153,0.173191548
Belgium,BE25,,other,BE25 - West-Vlaanderen,2019,RCI 2019 z-scores,0.45,0.023135302461733,-0.115739568,0.110845118
Belgium,BE25,,other,BE25 - West-Vlaanderen,2016,RCI 2016 z-scores,0.42,0.023135302461733,-0.115739568,0.110845118
Belgium,BE25,,other,BE25 - West-Vlaanderen,2013,RCI 2013 z-scores,0.54,0.023135302461733,-0.115739568,0.110845118
Belgium,BE25,,other,BE25 - West-Vlaanderen,2010,RCI 2010 z-scores,0.43,0.023135302461733,-0.115739568,0.110845118
Belgium,BE32,,other,BE32 - Hainaut,2019,RCI 2019 z-scores,-0.01,0.0547760671786,-0.214939822,0.203695273
Belgium,BE32,,other,BE32 - Hainaut,2016,RCI 2016 z-scores,-0.06,0.0547760671786,-0.214939822,0.203695273
Belgium,BE32,,other,BE32 - Hainaut,2013,RCI 2013 z-scores,0.16,0.0547760671786,-0.214939822,0.203695273
Belgium,BE32,,other,BE32 - Hainaut,2010,RCI 2010 z-scores,-0.05,0.0547760671786,-0.214939822,0.203695273
Belgium,BE33,,other,BE33 - Liège,2019,RCI 2019 z-scores,0.11,0.003068526686145,-0.263210735,0.289172776
Belgium,BE33,,other,BE33 - Liège,2016,RCI 2016 z-scores,0.11,0.003068526686145,-0.263210735,0.289172776
Belgium,BE33,,other,BE33 - Liège,2013,RCI 2013 z-scores,0.37,0.003068526686145,-0.263210735,0.289172776
Belgium,BE33,,other,BE33 - Liège,2010,RCI 2010 z-scores,0.08,0.003068526686145,-0.263210735,0.289172776
Belgium,BE34,,other,BE34 - Luxembourg,2019,RCI 2019 z-scores,0.02,0.031704443445078,-0.058132101,0.272268709
Belgium,BE34,,other,BE34 - Luxembourg,2016,RCI 2016 z-scores,-0.01,0.031704443445078,-0.058132101,0.272268709
Belgium,BE34,,other,BE34 - Luxembourg,2013,RCI 2013 z-scores,0.05,0.031704443445078,-0.058132101,0.272268709
Belgium,BE34,,other,BE34 - Luxembourg,2010,RCI 2010 z-scores,-0.22,0.031704443445078,-0.058132101,0.272268709
Belgium,BE35,,other,BE35 - Namur,2019,RCI 2019 z-scores,0.13,0.007349410382151,-0.195546201,0.360617944
Belgium,BE35,,other,BE35 - Namur,2016,RCI 2016 z-scores,0.12,0.007349410382151,-0.195546201,0.360617944
Belgium,BE35,,other,BE35 - Namur,2013,RCI 2013 z-scores,0.32,0.007349410382151,-0.195546201,0.360617944
Belgium,BE35,,other,BE35 - Namur,2010,RCI 2010 z-scores,-0.04,0.007349410382151,-0.195546201,0.360617944
Bulgaria,BG,,other,BG - Bulgaria,2019,RCI 2019 z-scores,-0.93,0.154802725919233,0.083820256,-0.09893227
Bulgaria,BG,,other,BG - Bulgaria,2016,RCI 2016 z-scores,-1.09,0.154802725919233,0.083820256,-0.09893227
Bulgaria,BG,,other,BG - Bulgaria,2013,RCI 2013 z-scores,-1.17,0.154802725919233,0.083820256,-0.09893227
Bulgaria,BG,,other,BG - Bulgaria,2010,RCI 2010 z-scores,-1.07,0.154802725919233,0.083820256,-0.09893227
Bulgaria,BG31,,other,BG31 - Severozapaden,2019,RCI 2019 z-scores,-1.4,0.04280914110188,0.036090487,-0.093306174
Bulgaria,BG31,,other,BG31 - Severozapaden,2016,RCI 2016 z-scores,-1.44,0.04280914110188,0.036090487,-0.093306174
Bulgaria,BG31,,other,BG31 - Severozapaden,2013,RCI 2013 z-scores,-1.48,0.04280914110188,0.036090487,-0.093306174
Bulgaria,BG31,,other,BG31 - Severozapaden,2010,RCI 2010 z-scores,-1.39,0.04280914110188,0.036090487,-0.093306174
Bulgaria,BG32,,other,BG32 - Severen tsentralen,2019,RCI 2019 z-scores,-1.09,0.173889692472269,0.013229961,-0.003954512
Bulgaria,BG32,,other,BG32 - Severen tsentralen,2016,RCI 2016 z-scores,-1.27,0.173889692472269,0.013229961,-0.003954512
Bulgaria,BG32,,other,BG32 - Severen tsentralen,2013,RCI 2013 z-scores,-1.28,0.173889692472269,0.013229961,-0.003954512
Bulgaria,BG32,,other,BG32 - Severen tsentralen,2010,RCI 2010 z-scores,-1.28,0.173889692472269,0.013229961,-0.003954512
Bulgaria,BG33,,other,BG33 - Severoiztochen,2019,RCI 2019 z-scores,-1.07,0.04362066342854,0.179943439,0.001501207
Bulgaria,BG33,,other,BG33 - Severoiztochen,2016,RCI 2016 z-scores,-1.11,0.04362066342854,0.179943439,0.001501207
Bulgaria,BG33,,other,BG33 - Severoiztochen,2013,RCI 2013 z-scores,-1.29,0.04362066342854,0.179943439,0.001501207
Bulgaria,BG33,,other,BG33 - Severoiztochen,2010,RCI 2010 z-scores,-1.29,0.04362066342854,0.179943439,0.001501207
Bulgaria,BG34,,other,BG34 - Yugoiztochen,2019,RCI 2019 z-scores,-1.24,0.09833078757493,0.069223755,-0.111967762
Bulgaria,BG34,,other,BG34 - Yugoiztochen,2016,RCI 2016 z-scores,-1.33,0.09833078757493,0.069223755,-0.111967762
Bulgaria,BG34,,other,BG34 - Yugoiztochen,2013,RCI 2013 z-scores,-1.4,0.09833078757493,0.069223755,-0.111967762
Bulgaria,BG34,,other,BG34 - Yugoiztochen,2010,RCI 2010 z-scores,-1.29,0.09833078757493,0.069223755,-0.111967762
Bulgaria,BG41,,capital region,BG41 - Yugozapaden,2019,RCI 2019 z-scores,-0.42,0.252915934685523,0.045847387,-0.152444056
Bulgaria,BG41,,capital region,BG41 - Yugozapaden,2016,RCI 2016 z-scores,-0.67,0.252915934685523,0.045847387,-0.152444056
Bulgaria,BG41,,capital region,BG41 - Yugozapaden,2013,RCI 2013 z-scores,-0.71,0.252915934685523,0.045847387,-0.152444056
Bulgaria,BG41,,capital region,BG41 - Yugozapaden,2010,RCI 2010 z-scores,-0.56,0.252915934685523,0.045847387,-0.152444056
Bulgaria,BG42,,other,BG42 - Yuzhen tsentralen,2019,RCI 2019 z-scores,-1.04,0.161333519967779,0.104211238,-0.157609926
Bulgaria,BG42,,other,BG42 - Yuzhen tsentralen,2016,RCI 2016 z-scores,-1.2,0.161333519967779,0.104211238,-0.157609926
Bulgaria,BG42,,other,BG42 - Yuzhen tsentralen,2013,RCI 2013 z-scores,-1.3,0.161333519967779,0.104211238,-0.157609926
Bulgaria,BG42,,other,BG42 - Yuzhen tsentralen,2010,RCI 2010 z-scores,-1.14,0.161333519967779,0.104211238,-0.157609926
Cyprus,CY00,,other,CY00 - Kýpros,2019,RCI 2019 z-scores,-0.29,0.199590198921237,-0.205974181,0.013205551
Cyprus,CY00,,other,CY00 - Kýpros,2016,RCI 2016 z-scores,-0.49,0.199590198921237,-0.205974181,0.013205551
Cyprus,CY00,,other,CY00 - Kýpros,2013,RCI 2013 z-scores,-0.29,0.199590198921237,-0.205974181,0.013205551
Cyprus,CY00,,other,CY00 - Kýpros,2010,RCI 2010 z-scores,-0.3,0.199590198921237,-0.205974181,0.013205551
Czechia,CZ,,other,CZ - Czechia,2019,RCI 2019 z-scores,0.01,0.168035997431057,0.077048447,-0.011490827
Czechia,CZ,,other,CZ - Czechia,2016,RCI 2016 z-scores,-0.16,0.168035997431057,0.077048447,-0.011490827
Czechia,CZ,,other,CZ - Czechia,2013,RCI 2013 z-scores,-0.23,0.168035997431057,0.077048447,-0.011490827
Czechia,CZ,,other,CZ - Czechia,2010,RCI 2010 z-scores,-0.22,0.168035997431057,0.077048447,-0.011490827
Czechia,CZ00,CZ00,capital region,CZ00 - Praha and its commuting area,2019,RCI 2019 z-scores,0.43,0.168366138221861,0.043973211,0.045284238
Czechia,CZ00,CZ00,capital region,CZ00 - Praha and its commuting area,2016,RCI 2016 z-scores,0.26,0.168366138221861,0.043973211,0.045284238
Czechia,CZ00,CZ00,capital region,CZ00 - Praha and its commuting area,2013,RCI 2013 z-scores,0.21,0.168366138221861,0.043973211,0.045284238
Czechia,CZ00,CZ00,capital region,CZ00 - Praha and its commuting area,2010,RCI 2010 z-scores,0.17,0.168366138221861,0.043973211,0.045284238
Czechia,CZ03,,other,CZ03 - Jihozápad,2019,RCI 2019 z-scores,-0.15,0.15921355191893,0.021217823,-0.116155173
Czechia,CZ03,,other,CZ03 - Jihozápad,2016,RCI 2016 z-scores,-0.31,0.15921355191893,0.021217823,-0.116155173
Czechia,CZ03,,other,CZ03 - Jihozápad,2013,RCI 2013 z-scores,-0.33,0.15921355191893,0.021217823,-0.116155173
Czechia,CZ03,,other,CZ03 - Jihozápad,2010,RCI 2010 z-scores,-0.21,0.15921355191893,0.021217823,-0.116155173
Czechia,CZ04,,other,CZ04 - Severozápad,2019,RCI 2019 z-scores,-0.38,0.158370004473377,-0.089441247,0.045729481
Czechia,CZ04,,other,CZ04 - Severozápad,2016,RCI 2016 z-scores,-0.53,0.158370004473377,-0.089441247,0.045729481
Czechia,CZ04,,other,CZ04 - Severozápad,2013,RCI 2013 z-scores,-0.45,0.158370004473377,-0.089441247,0.045729481
Czechia,CZ04,,other,CZ04 - Severozápad,2010,RCI 2010 z-scores,-0.49,0.158370004473377,-0.089441247,0.045729481
Czechia,CZ05,,other,CZ05 - Severovýchod,2019,RCI 2019 z-scores,-0.1,0.136650688871647,0.063776194,-0.035085948
Czechia,CZ05,,other,CZ05 - Severovýchod,2016,RCI 2016 z-scores,-0.23,0.136650688871647,0.063776194,-0.035085948
Czechia,CZ05,,other,CZ05 - Severovýchod,2013,RCI 2013 z-scores,-0.3,0.136650688871647,0.063776194,-0.035085948
Czechia,CZ05,,other,CZ05 - Severovýchod,2010,RCI 2010 z-scores,-0.26,0.136650688871647,0.063776194,-0.035085948
Czechia,CZ06,,other,CZ06 - Jihovýchod,2019,RCI 2019 z-scores,0.04,0.183687183425399,0.198138023,-0.117122646
Czechia,CZ06,,other,CZ06 - Jihovýchod,2016,RCI 2016 z-scores,-0.14,0.183687183425399,0.198138023,-0.117122646
Czechia,CZ06,,other,CZ06 - Jihovýchod,2013,RCI 2013 z-scores,-0.34,0.183687183425399,0.198138023,-0.117122646
Czechia,CZ06,,other,CZ06 - Jihovýchod,2010,RCI 2010 z-scores,-0.22,0.183687183425399,0.198138023,-0.117122646
Czechia,CZ07,,other,CZ07 - Střední Morava,2019,RCI 2019 z-scores,-0.14,0.159782687831504,0.145363893,-0.037976765
Czechia,CZ07,,other,CZ07 - Střední Morava,2016,RCI 2016 z-scores,-0.3,0.159782687831504,0.145363893,-0.037976765
Czechia,CZ07,,other,CZ07 - Střední Morava,2013,RCI 2013 z-scores,-0.44,0.159782687831504,0.145363893,-0.037976765
Czechia,CZ07,,other,CZ07 - Střední Morava,2010,RCI 2010 z-scores,-0.41,0.159782687831504,0.145363893,-0.037976765
Czechia,CZ08,,other,CZ08 - Moravskoslezsko,2019,RCI 2019 z-scores,-0.13,0.189550699856142,0.098384313,0.088826767
Czechia,CZ08,,other,CZ08 - Moravskoslezsko,2016,RCI 2016 z-scores,-0.32,0.189550699856142,0.098384313,0.088826767
Czechia,CZ08,,other,CZ08 - Moravskoslezsko,2013,RCI 2013 z-scores,-0.41,0.189550699856142,0.098384313,0.088826767
Czechia,CZ08,,other,CZ08 - Moravskoslezsko,2010,RCI 2010 z-scores,-0.5,0.189550699856142,0.098384313,0.088826767
Germany,DE,,other,DE - Germany,2019,RCI 2019 z-scores,0.55,0.012637995722662,-0.063351203,0.207182478
Germany,DE,,other,DE - Germany,2016,RCI 2016 z-scores,0.53,0.012637995722662,-0.063351203,0.207182478
Germany,DE,,other,DE - Germany,2013,RCI 2013 z-scores,0.6,0.012637995722662,-0.063351203,0.207182478
Germany,DE,,other,DE - Germany,2010,RCI 2010 z-scores,0.39,0.012637995722662,-0.063351203,0.207182478
Germany,DE00,DE00,capital region,DE00 - Berlin and its commuting area,2019,RCI 2019 z-scores,0.59,0.065226556326955,-0.027505681,0.21457029
Germany,DE00,DE00,capital region,DE00 - Berlin and its commuting area,2016,RCI 2016 z-scores,0.52,0.065226556326955,-0.027505681,0.21457029
Germany,DE00,DE00,capital region,DE00 - Berlin and its commuting area,2013,RCI 2013 z-scores,0.55,0.065226556326955,-0.027505681,0.21457029
Germany,DE00,DE00,capital region,DE00 - Berlin and its commuting area,2010,RCI 2010 z-scores,0.34,0.065226556326955,-0.027505681,0.21457029
Germany,DE11,,other,DE11 - Stuttgart,2019,RCI 2019 z-scores,0.75,-0.020424484453165,-0.030115444,0.168422373
Germany,DE11,,other,DE11 - Stuttgart,2016,RCI 2016 z-scores,0.77,-0.020424484453165,-0.030115444,0.168422373
Germany,DE11,,other,DE11 - Stuttgart,2013,RCI 2013 z-scores,0.8,-0.020424484453165,-0.030115444,0.168422373
Germany,DE11,,other,DE11 - Stuttgart,2010,RCI 2010 z-scores,0.64,-0.020424484453165,-0.030115444,0.168422373
Germany,DE12,,other,DE12 - Karlsruhe,2019,RCI 2019 z-scores,0.77,-0.038733160481868,-0.060939041,0.241428457
Germany,DE12,,other,DE12 - Karlsruhe,2016,RCI 2016 z-scores,0.81,-0.038733160481868,-0.060939041,0.241428457
Germany,DE12,,other,DE12 - Karlsruhe,2013,RCI 2013 z-scores,0.87,-0.038733160481868,-0.060939041,0.241428457
Germany,DE12,,other,DE12 - Karlsruhe,2010,RCI 2010 z-scores,0.63,-0.038733160481868,-0.060939041,0.241428457
Germany,DE13,,other,DE13 - Freiburg,2019,RCI 2019 z-scores,0.57,-0.003097796108726,-0.055022567,0.155117601
