iso3c,year,NEER_EA19,RGDP_EA19,RHICP_EA19,RULC_EA19,RXPI_EA19,NEER_EU27,RGDP_EU27,RHICP_EU27,RULC_EU27,RXPI_EU27,NEER_IC37,RGDP_IC37,RHICP_IC37,RULC_IC37,RXPI_IC37,NEER_Gr42,RGDP_Gr42,RHICP_Gr42,loans,banking_leverage,current_account_avg3y,direct_investment_stocks,current_account,export_oecd_5ychange,lending_borrowing,direct_investment_flows,trade_balance_energy,REER_42tp_change1y,REER_42tp_change3y,REER_euro_change3y,export_shares_change5y,export_shares_change1y,export_shares_vol_change1y,finance_liabs_ch1y,finance_liabs_mio,debt_gov,house_prices_real_ch1y,house_prices_nom_ch3y,int_inv_pos,int_inv_pos_adj,poverty_risk_perc,poverty_risk_ch3y,povery_risk_post_transfer_perc,povery_risk_post_transfer_perc_ch3y,deprived_perc,deprived_perc_ch3y,low_work_perc,low_work_perc_ch3y,ulc_ch3y,ulc_ch1y,ulc_perf_eu_ch10y,activity_rate_perc,activity_rate_perc_ch3y,unemp_long_perc,unemp_long_perc_ch3y,unemp_youth_perc,unemp_youth_ch3y,neet_youth_perc,neet_youth_perc_ch3y,gdp_real_ch1y,cap_formation,tot_ch5y,construction,employment_ch1y,productitivy_labor,credit_priv_flow,debt_priv,debt_households,rd_exp,unemp_avg3y,unemp_rate,finance_debt_to_equity,debt_external,ulc_ch10y,debt_priv_perc,credit_flow_priv,EurozoneEntry,EUEntry,gini_post,gini_post_se,gini_pre,gini_pre_se,gini_abs_red,gini_abs_red_se,gini_rel_red,gini_red_red_se,gov_balance,gov_debt_gdp,MIP_status,SGP_compliance,SGP_edp,fdi_net_inflow_GDP,fdi_net_outflow_GDP,tax_rev_total_GDP,tax_rev_trade_TAX,tax_rev_inc_profits_TAX,trade_total_GDP,trade_exp_GDP,trade_imp_GDP,RD_expend_GDP,RD_scientists,wgi_accountability,wgi_regul_quality,wgi_rule_of_law,wgi_pol_stability,wgi_gov_effectvn,wgi_control_corrupt,empl_ind,empl_agr,empl_serv,empl_self,unemp_youth_neet,VA_industry_gdp,VA_manufct_gdp,current_account_GDP_WB,population,res_rents,gdp_real_lcu,gdp_real_lcu_growth,gdp_real_pc_lcu,gdp_real_pc_lcu_growth,gdp_real_usd,gdp_real_pc_usd,gdp_nom_lcu,gdp_nom_pc_lcu,gdp_nom_usd,gdp_nom_pc_usd,gdp_real_ppp,gdp_real_pc_ppp,gdp_nom_ppp,gdp_nom_pc_ppp,unemp_rate_wb,labor_force_total,cpi_wb,cpi_change_wb,interest_real,cap_form_gf_perc_gdp,cap_form_gf_real_lcu,cap_form_gf_real_usd,AIS_mean,AIS_mean_MIP,AIS_mean_SGP,AIS_mean_Integrated,AIS_mean_SGP_MIP,country_group_jee
LTU,1994,72.3113678400281,36.9983530777933,37.5258361205485,32.4631691362098,57.9475249955744,68.9716727480918,38.0530588228959,38.51319791043,33.2597505425754,59.2487010356283,59.2081879745598,38.2791891519929,38.8855295842427,33.3352129255923,59.6770873777686,30.3924187484761,40.6811706424327,43.7505383755756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,30.5,1.4,45.5,2,15,2.4,33,3.1,,,,,,,,,7.07576706324358,22.6349405134627,,,,,,,,,,,,28.3199996948242,22.9599990844727,48.7099990844727,19.8799991607666,,,,,3657144,,,,,,,,,,,,,,,,13.8000001907349,1782782,36.7407613223404,72.2546816164428,,,,,,,,,,Catchup
LUX,1994,100.60484907417,87.5654488638817,94.4478712904761,81.8935378997573,71.6077324181117,98.6099913374314,88.9247293108309,95.680678716733,83.021073351238,72.3901145505717,95.6225631046062,88.7453624880474,95.4389017647313,83.7006334965725,72.4569369657002,92.6838174722056,90.85574359016,96.9572895018705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,1993,24.6,1,40.6,1.3,16,1.6,39.4,2.1,,,,,,,,24.1761004760227,0.000457915294828762,32.7945196697515,180.950603941166,100.180980697213,80.7696232439533,,,,,,,,,26.9799995422363,3.16000008583069,69.870002746582,8.80000019073486,,,,,402925,0.0193430766473163,25581682000,3.82091866137451,63489.9348513991,2.41662752355856,30124232440.4896,74763.8702996577,15199411000,37722.6803995781,18325790933.2047,45481.8910050375,30910059727.1005,76714.1768991761,14973579474.3676,37162.2000977045,3.48000001907349,171646,72.8260715260715,2.19476468689066,,22.5001547757344,3867740000,4720630678.6151,,,,,,Finance
MLT,1994,93.6321644735076,84.1344226000908,82.1448221192834,86.0713789513235,82.8009710618011,91.7698285362902,85.2383650915675,83.0104391639032,87.2089239219565,83.4099947086906,89.936646819142,83.1464922967686,81.9611173937507,85.4085684299787,81.4536272517709,87.2411903669035,86.217553585418,83.303034965922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,5.05884597824686,-0.0343268749221676,42.314009539659,18.9198265006297,24.9867077095284,181.70194942775,85.9618426185406,95.7401068092093,,,,,,,,,34.6800003051758,2.35999989509583,62.9599990844727,12.3000001907349,,46.8735922566449,19.8490264567386,-4.38660399069652,374797,0,4426347494.52125,5.65110473736064,11809.9864580593,4.66759445198308,5207661966.78247,13894.6201991544,2639641300,7042.855999381,2998570146.54095,8000.51800452232,7830337147.85465,20892.2087099274,4851794318.32194,12945.1258102972,5.88000011444092,144636,67.0187341011278,4.12992181638256,,23.879593034099,,,,,,,,Finance
NLD,1994,100.882864668454,93.1365120492165,98.8591353174914,95.1994222984346,98.6600455923891,98.5822136304255,95.0932173520067,100.542327040917,97.0597885272728,100.015867650024,93.7785252239566,93.7925066727932,98.8760763458339,96.3753145021001,99.3238293664607,89.4829222807442,96.1800419646491,100.470736533027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,1993,26,0.9,46,1.2,20,1.5,43.5,1.9,,,,,,1.87970101599897,4.63727790111108,21.8467562525623,0,26.2900690315085,102.950734655707,54.7356507515775,48.2150839041296,,,,,,,,,23.3500003814697,3.99000000953674,72.6699981689453,12.3900003433228,,24.122270636815,15.2011699325891,4.56155087518055,15382838,0.288205808636611,455313933000,2.96109256914634,29598.825197275,2.34216826988056,579826010833.413,37693.0453817048,313123682000,20355.3909883209,379130260322.073,24646.3143096269,592150317150.525,38494.2178517725,343448087431.694,22326.7050872988,7.15999984741211,7304705,72.3244897959184,2.80152693672193,,20.6912318436521,86420954000,115027423457.882,,,,,,Finance
AUT,1994,100.057489945039,103.474368783285,105.019639321386,109.805035440591,98.5245042550031,94.6473647394193,108.653405869405,109.719015717476,114.303664474428,101.660249832383,90.8456123238921,107.151859035459,108.29970184965,112.688026704656,101.416021403085,85.0040836325157,110.58212281105,110.678344563498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,1995,27.3,0.8,41.9,1,14.6,1.3,34.8,1.6,,,,,,1.01988382817464,0.609730036725919,18.3455730614349,1.24625817093286,19.1642739324333,65.9870933970696,32.1585339446652,33.8285594524044,,,,,,,,,32.4700012207031,7.19999980926514,60.3300018310547,14.4099998474121,,28.4134001556217,17.3565201137903,,7936118,0.121125996220303,235776268000,2.40211907379886,29709.2694438263,2.0087619437808,282867277668.304,35643.0281994678,168954605000,21289.3262171757,203535242741.838,25646.7006591684,312514058419.019,39378.7061153852,179254572750.228,22587.1859201474,3.53999996185303,3827783,75.3692237067868,2.95340936761076,,26.1614905376506,61235123000,73865240402.9533,,,,,,Core
PRT,1994,100.302502767104,82.9141450031218,92.6069352485565,82.5224075312839,93.1956663287199,98.7274052313003,83.9731352056249,93.5547778599095,83.551172747138,93.9821587300941,96.3204524390984,83.3421167559851,92.688770540807,83.8732041217103,93.3853445544196,93.6765579064854,85.0075945146995,93.6234652225195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,1993,33.6,1.8,52.3,2.8,18.7,3.3,35.8,4.3,,,,,,1.27368069158283,0.287742921900361,19.3537381086109,,,57.1773600156865,25.1335659295225,32.043794086164,,,,,,,,,32.4700012207031,11.7600002288818,55.7599983215332,27.3299999237061,,,,-2.20261544389875,9991525,0.27504938134665,136818407000,0.964837925343673,13693.4458953963,0.693517391361567,173628813854.383,17377.6089089887,82542195000,8261.22088469978,99688641304.3478,9977.31990905771,245395422880.855,24560.3571908047,135337482107.693,13545.2277913225,6.71000003814697,4812558,66.1653948447715,5.42044019241623,,22.6947732611181,27634184000,36414161021.4254,,,,,,Periphery
SVN,1994,155.794792442082,76.5309406147416,82.5634368439226,95.8063507807851,89.5919038709423,149.603246468301,80.9029121747506,86.4366917588654,101.229664004809,94.4326435061786,141.510850366899,81.0101505206048,86.7895656652019,101.20788414444,94.6204149550358,120.605263509226,84.9065885193914,90.6397637667433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,23.4,0.9,38.1,1.4,14.7,1.7,38.6,2.2,,,,,,0.77676377468099,-0.0857164473343437,20.5469317932003,8.7056593555375,12.2935282967777,105.844616215926,53.5492821205041,52.2953340954221,,,,,,,,,42.3899993896484,11.5699996948242,46.0400009155273,17.6299991607666,,,,3.8140496720863,1989443,0.23283033599548,22870825000,5.32748574261765,11496.0946355337,5.44941394044247,28941818634.6007,14547.6993483104,8089171000,4066.04813508103,15049620465.1163,7564.74071642981,41063277449.0523,20640.5900792595,25450850283.9524,12792.9527430303,8.23999977111816,936560,39.4880333730632,20.9918180471499,,22.2787229989328,4389561000,5458450198.69346,,,,,,Catchup
SVK,1994,77.9846912982273,51.5891435365893,43.4257010040485,52.8436518649337,59.9917843159302,73.5487992780216,58.5866328296646,49.1822093725535,60.0404375852383,65.0768627694347,69.8358786875096,57.7982538796313,48.5686198357708,59.1443107412316,64.6841588264517,61.5172567235711,59.3203769673102,50.127711874699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,20.8,0.9,40.1,1.2,19.3,1.5,48.1,1.9,,,,,,1.33848444626211,0.068749755054193,,,,108.372095431577,55.324327452368,53.0477679792089,,,,,,,,,39.7000007629395,10.1700000762939,50.1300010681152,6.76000022888184,,,,3.32584642425948,5346331,0.536356787011305,34424153000,6.20552967875099,6438.83683969436,5.78784557594751,44234446022.2986,8273.79487396097,16995339000,3178.87893585339,20162936291.375,3771.35951578288,67121317091.5809,12554.6504867695,43052224003.891,8052.66714759916,13.6499996185303,2457271,40.1340268307556,13.4155203422246,,27.7150752921139,8666249000,11365071609.9452,,,,,,Catchup
FIN,1994,94.8344175004935,98.2096043083441,102.497346487562,97.992123493848,116.14544260096,91.7960506946818,99.8776723376311,103.650514591605,99.6013195351558,117.361450534923,86.903018593974,99.1597597139179,102.636297558315,99.0551576638194,117.513754892118,72.9110259165957,106.29104074798,107.915260766381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,1995,22.1,0.6,43.6,0.9,21.5,1.1,49.3,1.4,,,,,,0.268964373790316,3.03569955105611,23.1086270776608,0.888108668124787,27.1313456889606,62.428236123814,34.0356367563279,28.3925993674861,,,,,,,,,27.7099990844727,8.03999996185303,64.25,16.0599994659424,,28.2217985873123,20.990864913112,1.07497037441185,5088333,0.535854648081512,1.32136e+11,3.96305242370121,25968.4262016657,3.51588527380258,156353993801.959,30727.94052629,9.0749e+10,17834.7211159333,103299943084.804,20301.333085866,154017100296.566,30268.6754771289,93798773315.5829,18434.0870213453,16.4300003051758,2494328,79.3525263252546,,,18.6525471355056,2.4576e+10,29652318859.8807,,,,,,Core
BGR,1994,2977.57128460046,60.2740746499146,42.0564754998896,73.5919683173713,63.6145339213961,2788.20804324941,62.460363733935,43.0992358756864,75.8875592207004,65.1201524535035,1949.77090763006,63.9349917365894,45.2360706449772,75.931483277714,65.9813820257192,1470.64932812352,68.4672728964214,49.0436196582282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,30.8,1.4,42.1,2.5,11.3,2.9,26.8,3.8,,,,,,1.08688736681887,0.00185616438356164,21.2389649923897,7.88477117229667,14.4475243272788,90.7201293759513,45.0475646879756,45.6725646879757,,,,,,,,,38.3800010681152,17.4899997711182,44.1300010681152,15.7200002670288,,29.9467275494673,,-0.327922374429224,8443591,1.09176441707656,56866061900,1.81801119768079,6734.81956906724,2.16435873128586,35005899014.0377,4145.85441360645,525600000,62.2483964464882,9697416974.16974,1148.4943993817,89619764485.5344,10613.9395531515,61831770327.6534,7322.92342531198,13.7200002670288,3848636,1.00428441888399,96.0573382686504,17.2611748201319,13.7608447488584,5452487800,3411185500.47026,,,,,,Catchup
