iso3c,year,NEER_EA19,RGDP_EA19,RHICP_EA19,RULC_EA19,RXPI_EA19,NEER_EU27,RGDP_EU27,RHICP_EU27,RULC_EU27,RXPI_EU27,NEER_IC37,RGDP_IC37,RHICP_IC37,RULC_IC37,RXPI_IC37,NEER_Gr42,RGDP_Gr42,RHICP_Gr42,loans,banking_leverage,current_account_avg3y,direct_investment_stocks,current_account,export_oecd_5ychange,lending_borrowing,direct_investment_flows,trade_balance_energy,REER_42tp_change1y,REER_42tp_change3y,REER_euro_change3y,export_shares_change5y,export_shares_change1y,export_shares_vol_change1y,finance_liabs_ch1y,finance_liabs_mio,debt_gov,house_prices_real_ch1y,house_prices_nom_ch3y,int_inv_pos,int_inv_pos_adj,poverty_risk_perc,poverty_risk_ch3y,povery_risk_post_transfer_perc,povery_risk_post_transfer_perc_ch3y,deprived_perc,deprived_perc_ch3y,low_work_perc,low_work_perc_ch3y,ulc_ch3y,ulc_ch1y,ulc_perf_eu_ch10y,activity_rate_perc,activity_rate_perc_ch3y,unemp_long_perc,unemp_long_perc_ch3y,unemp_youth_perc,unemp_youth_ch3y,neet_youth_perc,neet_youth_perc_ch3y,gdp_real_ch1y,cap_formation,tot_ch5y,construction,employment_ch1y,productitivy_labor,credit_priv_flow,debt_priv,debt_households,rd_exp,unemp_avg3y,unemp_rate,finance_debt_to_equity,debt_external,ulc_ch10y,debt_priv_perc,credit_flow_priv
BEL,1994,100.552745381055,103.126624510192,100.988183816351,102.487431617329,95.9407895997776,98.3396623320498,104.922693568113,102.485793454217,104.099679519856,97.1013040496085,93.7371557828523,102.844908373292,100.652859386948,102.882468326601,96.3184405824509,89.7821184584084,105.45269708576,102.144210539105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,1994,100.695799786885,122.685550380807,113.090501223098,123.722677843344,114.209724401239,96.025950165448,125.940380604866,116.203324950733,126.413155959922,116.245773301604,89.563935266593,119.988980368487,112.463675678622,120.834149658866,113.41865176842,82.5779720697947,124.755814115278,115.182884548122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EST,1994,102.415953802767,40.2123803536031,51.4378650023956,42.1923472712759,46.5214954942648,99.0450832576335,40.3729552264184,51.2930567349192,42.466408874002,46.6245037480579,91.3948692099324,40.8901413355734,51.7370769887525,42.9952110633977,47.5503087039653,56.0590390085572,43.2430074709233,56.5479658860372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,1994,98.1019200741284,84.5002168777807,90.8968112993276,91.9241590119088,97.0879975036122,95.7072504139012,85.9217084359337,92.1112325871281,93.4455316068957,98.0986632279787,90.9207268833238,82.6751607026506,88.3186409531158,91.0390227645636,95.8322947489967,87.1556710319801,83.8041163895639,88.9628139084055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,1994,117.16789373716,83.2581248922071,84.5711835791661,71.4345375269646,79.829341939218,99.8835137687525,87.5745645452488,88.9460673002413,73.816388737156,82.7726485693727,85.0954014832559,87.3855757989375,89.7073830300137,73.3582012466715,82.8789547119107,73.1619887995647,91.7192949752052,93.1824340996534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,1994,103.647466144718,84.7553450107536,89.8233267731054,88.019302761236,82.7205467596789,101.511746882547,86.2008953470479,91.0790042889905,89.3222699179444,83.7158913511362,93.5281907987838,84.780440345013,89.6150217424697,87.9153811157092,83.5959120007433,88.8950155045423,87.1237364128592,90.9051403068498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,1994,97.8160366422113,104.297469756944,103.967570974084,100.028479334944,111.953746670536,94.9730246683499,106.503616981084,105.777531089341,101.973580413871,113.41630951216,89.9568872943506,103.852677335865,103.740685629683,100.331646394594,111.463590945671,85.5387797133729,107.263398066783,105.52942620802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,1994,99.6519398850506,86.6549753156992,91.1740261104529,85.30744832934,84.0551023116124,94.7498549365439,89.7530798108685,93.8165082976784,87.9793592792361,86.2838272485034,87.3022657724917,88.6528547190838,93.1912127008598,87.0621567310248,86.2872600607626,81.2183118795836,92.1046537706294,95.2492181403713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYP,1994,97.8494218779591,90.8723930294686,92.1113556515923,86.7509056037597,91.7216949997115,68.0721327544044,94.1265457833051,97.3223861941501,89.6165083347602,92.5790284840228,62.2278333829704,92.3187281785297,95.4584557132264,89.6479785096247,91.7090756567463,48.0264120428855,93.4376551260208,97.7706384076427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LVA,1994,107.949573824716,55.1748228457954,53.2720124945486,61.9877031242558,57.9960142600238,104.016934663605,55.9927755709944,53.7776087723542,62.9336525660293,58.6496515211722,96.1645037514811,57.1878273820975,54.7183585331976,65.233579820379,59.6053097997252,56.5384581602524,62.1378139399925,62.5512276113968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
